# id	left	top	right	bottom	texture_id
[SPRITES]
70000	0	33	7	40	40
70001	9	33	16	40	40
70002	18 	33	25	40	40

70003	0	42	7	49	40
70004	9	42	16	49	40
70005	18	42	25	49	40

70006	0	51	7	58	40
70007	9	51	16	58	40
70008	18	51	25	58	40

71000	0	60	7	67	40
71001	9	60	16	67	40
71002	18	60	25	67	40

71003	0	69	7	76	40
71004	9	69	16	76	40
71005	18	69	25	76	40

71006	0	78	7	85	40
71007	9	78	16	85	40
71008	18	78	25	85	40

72000	0	87	7	94	40
72001	9	87	16	94	40
72002	18	87	25	94	40

72003	0	96	7	103	40
72004	9	96	16	103	40
72005	18	96	25	103	40

72006	0	105	7	112	40
72007	9	105	16	112	40
72008	18	105	25	112	40

73000	0	114	7	121	40
73001	9	114	16	121	40
73002	18	114	25	121	40

73003	0	123	7	130	40
73004	9	123	16	130	40
73005	18	123	25	130	40

73006	0	132	7	139	40
73007	9	132	16	139	40
73008	16	132	25	139	40

74000	36	43	43	50	40
74001	27	33	34	40	40
74002	36	33	43	40	40
74003	27	43	34	50	40
# ani_id	sprite1_id	time1	sprite2_id	time2	...
